Division,Group,Field,Description
Indigenous Studies,Pacific Peoples society and community,451813,Pacific Peoples human geography and demography
Indigenous Studies,Pacific Peoples society and community,451814,Pacific Peoples legislation
Indigenous Studies,Pacific Peoples society and community,451815,Pacific Peoples management
Indigenous Studies,Pacific Peoples society and community,451816,Pacific Peoples marketing
Indigenous Studies,Pacific Peoples society and community,451817,Pacific Peoples not-for-profit social enterprises
Indigenous Studies,Pacific Peoples society and community,451818,Pacific Peoples perspectives
Indigenous Studies,Pacific Peoples society and community,451819,Pacific Peoples political participation and representation
Indigenous Studies,Pacific Peoples society and community,451820,Pacific Peoples politics
Indigenous Studies,Pacific Peoples society and community,451821,Pacific Peoples social impact and program evaluation
Indigenous Studies,Pacific Peoples society and community,451822,Pacific Peoples social work and social justice
Indigenous Studies,Pacific Peoples society and community,451823,Pacific Peoples sociological studies
Indigenous Studies,Pacific Peoples society and community,451824,Pacific Peoples sociology
Indigenous Studies,Pacific Peoples society and community,451825,Pacific Peoples tourism
Indigenous Studies,Pacific Peoples society and community,451826,Pacific Peoples urban and regional planning
Indigenous Studies,Pacific Peoples society and community,451899,"Pacific Peoples, society and community not elsewhere classified"
Indigenous Studies,"Other Indigenous data, methodologies and global Indigenous studies",451901,"Global Indigenous studies culture, language and history"
Indigenous Studies,"Other Indigenous data, methodologies and global Indigenous studies",451902,Global Indigenous studies environmental knowledges and management
Indigenous Studies,"Other Indigenous data, methodologies and global Indigenous studies",451903,Global Indigenous studies health and wellbeing
Indigenous Studies,"Other Indigenous data, methodologies and global Indigenous studies",451904,"Global Indigenous studies peoples, society and community"
Indigenous Studies,"Other Indigenous data, methodologies and global Indigenous studies",451905,Global Indigenous studies sciences
Indigenous Studies,"Other Indigenous data, methodologies and global Indigenous studies",451906,Indigenous data and data technologies
Indigenous Studies,"Other Indigenous data, methodologies and global Indigenous studies",451907,Indigenous methodologies
Indigenous Studies,"Other Indigenous data, methodologies and global Indigenous studies",451999,"Other Indigenous data, methodologies and global Indigenous studies not elsewhere classified"
Indigenous Studies,Other Indigenous studies,459999,Other Indigenous studies not elsewhere classified
Information and Computing Sciences,Applied computing,460101,Applications in arts and humanities
Information and Computing Sciences,Applied computing,460102,Applications in health
Information and Computing Sciences,Applied computing,460103,Applications in life sciences
Information and Computing Sciences,Applied computing,460104,Applications in physical sciences
Information and Computing Sciences,Applied computing,460105,Applications in social sciences and education
Information and Computing Sciences,Applied computing,460106,Spatial data and applications
Information and Computing Sciences,Applied computing,460199,Applied computing not elsewhere classified
Information and Computing Sciences,Artificial intelligence,460201,Artificial life and complex adaptive systems
Information and Computing Sciences,Artificial intelligence,460202,Autonomous agents and multiagent systems
Information and Computing Sciences,Artificial intelligence,460203,Evolutionary computation
Information and Computing Sciences,Artificial intelligence,460204,Fuzzy computation
Information and Computing Sciences,Artificial intelligence,460205,Intelligent robotics
Information and Computing Sciences,Artificial intelligence,460206,Knowledge representation and reasoning
Information and Computing Sciences,Artificial intelligence,460207,Modelling and simulation
Information and Computing Sciences,Artificial intelligence,460208,Natural language processing
Information and Computing Sciences,Artificial intelligence,460209,Planning and decision making
Information and Computing Sciences,Artificial intelligence,460210,Satisfiability and optimisation
Information and Computing Sciences,Artificial intelligence,460211,Speech production
Information and Computing Sciences,Artificial intelligence,460212,Speech recognition
Information and Computing Sciences,Artificial intelligence,460299,Artificial intelligence not elsewhere classified
Information and Computing Sciences,Computer vision and multimedia computation,460301,Active sensing
Information and Computing Sciences,Computer vision and multimedia computation,460302,Audio processing
Information and Computing Sciences,Computer vision and multimedia computation,460303,Computational imaging
Information and Computing Sciences,Computer vision and multimedia computation,460304,Computer vision
Information and Computing Sciences,Computer vision and multimedia computation,460305,Image and video coding
Information and Computing Sciences,Computer vision and multimedia computation,460306,Image processing
Information and Computing Sciences,Computer vision and multimedia computation,460307,Multimodal analysis and synthesis
Information and Computing Sciences,Computer vision and multimedia computation,460308,Pattern recognition
Information and Computing Sciences,Computer vision and multimedia computation,460309,Video processing
Information and Computing Sciences,Computer vision and multimedia computation,460399,Computer vision and multimedia computation not elsewhere classified
Information and Computing Sciences,Cybersecurity and privacy,460401,Cryptography
Information and Computing Sciences,Cybersecurity and privacy,460402,Data and information privacy
Information and Computing Sciences,Cybersecurity and privacy,460403,Data security and protection
Information and Computing Sciences,Cybersecurity and privacy,460404,Digital forensics
Information and Computing Sciences,Cybersecurity and privacy,460405,Hardware security
Information and Computing Sciences,Cybersecurity and privacy,460406,Software and application security
Information and Computing Sciences,Cybersecurity and privacy,460407,System and network security
Information and Computing Sciences,Cybersecurity and privacy,460499,Cybersecurity and privacy not elsewhere classified
Information and Computing Sciences,Data management and data science,460501,Data engineering and data science
Information and Computing Sciences,Data management and data science,460502,Data mining and knowledge discovery
Information and Computing Sciences,Data management and data science,460503,"Data models, storage and indexing"
Information and Computing Sciences,Data management and data science,460504,Data quality
Information and Computing Sciences,Data management and data science,460505,Database systems
Information and Computing Sciences,Data management and data science,460506,"Graph, social and multimedia data"
Information and Computing Sciences,Data management and data science,460507,Information extraction and fusion
Information and Computing Sciences,Data management and data science,460508,Information retrieval and web search
Information and Computing Sciences,Data management and data science,460509,Query processing and optimisation
Information and Computing Sciences,Data management and data science,460510,Recommender systems
Information and Computing Sciences,Data management and data science,460511,Stream and sensor data
Information and Computing Sciences,Data management and data science,460599,Data management and data science not elsewhere classified
Information and Computing Sciences,Distributed computing and systems software,460601,Cloud computing
Information and Computing Sciences,Distributed computing and systems software,460602,Concurrent/parallel systems and technologies
Information and Computing Sciences,Distributed computing and systems software,460603,Cyberphysical systems and internet of things
Information and Computing Sciences,Distributed computing and systems software,460604,Dependable systems
Information and Computing Sciences,Distributed computing and systems software,460605,Distributed systems and algorithms
Information and Computing Sciences,Distributed computing and systems software,460606,Energy-efficient computing
Information and Computing Sciences,Distributed computing and systems software,460607,High performance computing
Information and Computing Sciences,Distributed computing and systems software,460608,Mobile computing
Information and Computing Sciences,Distributed computing and systems software,460609,Networking and communications
Information and Computing Sciences,Distributed computing and systems software,460610,Operating systems
Information and Computing Sciences,Distributed computing and systems software,460611,Performance evaluation
Information and Computing Sciences,Distributed computing and systems software,460612,Service oriented computing
Information and Computing Sciences,Distributed computing and systems software,460699,Distributed computing and systems software not elsewhere classified
Information and Computing Sciences,"Graphics, augmented reality and games",460701,Computer aided design
Information and Computing Sciences,"Graphics, augmented reality and games",460702,Computer graphics
Information and Computing Sciences,"Graphics, augmented reality and games",460703,Entertainment and gaming
Information and Computing Sciences,"Graphics, augmented reality and games",460704,Interactive narrative
Information and Computing Sciences,"Graphics, augmented reality and games",460705,Procedural content generation
Information and Computing Sciences,"Graphics, augmented reality and games",460706,Serious games
Information and Computing Sciences,"Graphics, augmented reality and games",460707,Sound and music computing
Information and Computing Sciences,"Graphics, augmented reality and games",460708,Virtual and mixed reality
Information and Computing Sciences,"Graphics, augmented reality and games",460799,"Graphics, augmented reality and games not elsewhere classified"
Information and Computing Sciences,Human-centred computing,460801,Accessible computing
Information and Computing Sciences,Human-centred computing,460802,Affective computing
Information and Computing Sciences,Human-centred computing,460803,Collaborative and social computing
Information and Computing Sciences,Human-centred computing,460804,Computing education
Information and Computing Sciences,Human-centred computing,460805,"Fairness, accountability, transparency, trust and ethics of computer systems"
Information and Computing Sciences,Human-centred computing,460806,Human-computer interaction
Information and Computing Sciences,Human-centred computing,460807,Information visualisation
Information and Computing Sciences,Human-centred computing,460808,Mixed initiative and human-in-the-loop
Information and Computing Sciences,Human-centred computing,460809,Pervasive computing
Information and Computing Sciences,Human-centred computing,460810,Social robotics
Information and Computing Sciences,Human-centred computing,460899,Human-centred computing not elsewhere classified
Information and Computing Sciences,Information systems,460901,Business process management
Information and Computing Sciences,Information systems,460902,Decision support and group support systems
Information and Computing Sciences,Information systems,460903,"Information modelling, management and ontologies"
Information and Computing Sciences,Information systems,460904,Information security management
Information and Computing Sciences,Information systems,460905,Information systems development methodologies and practice
Information and Computing Sciences,Information systems,460906,Information systems education
Information and Computing Sciences,Information systems,460907,Information systems for sustainable development and the public good
Information and Computing Sciences,Information systems,460908,Information systems organisation and management
Information and Computing Sciences,Information systems,460909,"Information systems philosophy, research methods and theory"
Information and Computing Sciences,Information systems,460910,Information systems user experience design and development
Information and Computing Sciences,Information systems,460911,"Inter-organisational, extra-organisational and global information systems"
Information and Computing Sciences,Information systems,460912,Knowledge and information management
Information and Computing Sciences,Information systems,460999,Information systems not elsewhere classified
Information and Computing Sciences,Library and information studies,461001,Digital curation and preservation
Information and Computing Sciences,Library and information studies,461002,Human information behaviour
Information and Computing Sciences,Library and information studies,461003,Human information interaction and retrieval
Information and Computing Sciences,Library and information studies,461004,"Information governance, policy and ethics"
Information and Computing Sciences,Library and information studies,461005,Informetrics
Information and Computing Sciences,Library and information studies,461006,Library studies
Information and Computing Sciences,Library and information studies,461007,Open access
Information and Computing Sciences,Library and information studies,461008,Organisation of information and knowledge resources
Information and Computing Sciences,Library and information studies,461009,Recordkeeping informatics
Information and Computing Sciences,Library and information studies,461010,Social and community informatics
Information and Computing Sciences,Library and information studies,461099,Library and information studies not elsewhere classified
Information and Computing Sciences,Machine learning,461101,Adversarial machine learning
Information and Computing Sciences,Machine learning,461102,Context learning
Information and Computing Sciences,Machine learning,461103,Deep learning
Information and Computing Sciences,Machine learning,461104,Neural networks
Information and Computing Sciences,Machine learning,461105,Reinforcement learning
Information and Computing Sciences,Machine learning,461106,Semi- and unsupervised learning
Information and Computing Sciences,Machine learning,461199,Machine learning not elsewhere classified
Information and Computing Sciences,Software engineering,461201,Automated software engineering
Information and Computing Sciences,Software engineering,461202,Empirical software engineering
Information and Computing Sciences,Software engineering,461203,Formal methods for software
Information and Computing Sciences,Software engineering,461204,Programming languages
Information and Computing Sciences,Software engineering,461205,Requirements engineering
Information and Computing Sciences,Software engineering,461206,Software architecture
Information and Computing Sciences,Software engineering,461207,"Software quality, processes and metrics"
Information and Computing Sciences,Software engineering,461208,"Software testing, verification and validation"
Information and Computing Sciences,Software engineering,461299,Software engineering not elsewhere classified
Information and Computing Sciences,Theory of computation,461301,"Coding, information theory and compression"
Information and Computing Sciences,Theory of computation,461302,Computational complexity and computability
Information and Computing Sciences,Theory of computation,461303,Computational logic and formal languages
Information and Computing Sciences,Theory of computation,461304,Concurrency theory
Information and Computing Sciences,Theory of computation,461305,Data structures and algorithms
Information and Computing Sciences,Theory of computation,461306,Numerical computation and mathematical software
Information and Computing Sciences,Theory of computation,461307,Quantum computation
Information and Computing Sciences,Theory of computation,461399,Theory of computation not elsewhere classified
Information and Computing Sciences,Other information and computing sciences,469999,Other information and computing sciences not elsewhere classified
"Language, Communication and Culture",Communication and media studies,470101,Communication studies
"Language, Communication and Culture",Communication and media studies,470102,Communication technology and digital media studies
"Language, Communication and Culture",Communication and media studies,470103,Environmental communication
"Language, Communication and Culture",Communication and media studies,470104,International and development communication
"Language, Communication and Culture",Communication and media studies,470105,Journalism studies
"Language, Communication and Culture",Communication and media studies,470106,Media industry studies
"Language, Communication and Culture",Communication and media studies,470107,Media studies
"Language, Communication and Culture",Communication and media studies,470108,"Organisational, interpersonal and intercultural communication"
"Language, Communication and Culture",Communication and media studies,470199,Communication and media studies not elsewhere classified
"Language, Communication and Culture",Cultural studies,470201,Arts and cultural policy
"Language, Communication and Culture",Cultural studies,470202,Asian cultural studies
"Language, Communication and Culture",Cultural studies,470203,Consumption and everyday life
"Language, Communication and Culture",Cultural studies,470204,Cultural and creative industries
"Language, Communication and Culture",Cultural studies,470205,"Cultural studies of agriculture, food and wine"
"Language, Communication and Culture",Cultural studies,470206,Cultural studies of nation and region
"Language, Communication and Culture",Cultural studies,470207,Cultural theory
"Language, Communication and Culture",Cultural studies,470208,"Culture, representation and identity"
"Language, Communication and Culture",Cultural studies,470209,Environment and culture
"Language, Communication and Culture",Cultural studies,470210,Globalisation and culture
"Language, Communication and Culture",Cultural studies,470211,Migrant cultural studies
"Language, Communication and Culture",Cultural studies,470212,"Multicultural, intercultural and cross-cultural studies"
"Language, Communication and Culture",Cultural studies,470213,Postcolonial studies
"Language, Communication and Culture",Cultural studies,470214,Screen and media culture
"Language, Communication and Culture",Cultural studies,470299,Cultural studies not elsewhere classified
"Language, Communication and Culture",Language studies,470301,African languages
"Language, Communication and Culture",Language studies,470302,Central and Eastern European languages (incl. Russian)
"Language, Communication and Culture",Language studies,470303,Chinese languages
"Language, Communication and Culture",Language studies,470304,Comparative language studies
"Language, Communication and Culture",Language studies,470305,Early English languages
"Language, Communication and Culture",Language studies,470306,English as a second language
"Language, Communication and Culture",Language studies,470307,English language
"Language, Communication and Culture",Language studies,470308,French language
"Language, Communication and Culture",Language studies,470309,German language
"Language, Communication and Culture",Language studies,470310,Iberian languages
"Language, Communication and Culture",Language studies,470311,Indian languages
"Language, Communication and Culture",Language studies,470312,Indonesian languages
"Language, Communication and Culture",Language studies,470313,Italian language
"Language, Communication and Culture",Language studies,470314,Japanese language
"Language, Communication and Culture",Language studies,470315,Korean language
"Language, Communication and Culture",Language studies,470316,Latin and classical Greek languages
"Language, Communication and Culture",Language studies,470317,Middle Eastern languages
"Language, Communication and Culture",Language studies,470318,Other Asian languages (excl. South-East Asian)
"Language, Communication and Culture",Language studies,470319,Other European languages
"Language, Communication and Culture",Language studies,470320,South-East Asian languages (excl. Indonesian)
"Language, Communication and Culture",Language studies,470321,Translation and interpretation studies
"Language, Communication and Culture",Language studies,470399,Language studies not elsewhere classified
"Language, Communication and Culture",Linguistics,470401,Applied linguistics and educational linguistics
"Language, Communication and Culture",Linguistics,470402,Child language acquisition
"Language, Communication and Culture",Linguistics,470403,Computational linguistics
"Language, Communication and Culture",Linguistics,470404,Corpus linguistics
"Language, Communication and Culture",Linguistics,470405,Discourse and pragmatics
"Language, Communication and Culture",Linguistics,470406,"Historical, comparative and typological linguistics"
"Language, Communication and Culture",Linguistics,470407,Language documentation and description
"Language, Communication and Culture",Linguistics,470408,Lexicography and semantics
"Language, Communication and Culture",Linguistics,470409,"Linguistic structures (incl. phonology, morphology and syntax)"
"Language, Communication and Culture",Linguistics,470410,Phonetics and speech science
"Language, Communication and Culture",Linguistics,470411,Sociolinguistics
"Language, Communication and Culture",Linguistics,470499,Linguistics not elsewhere classified
"Language, Communication and Culture",Literary studies,470501,African literature
"Language, Communication and Culture",Literary studies,470502,Australian literature (excl. Aboriginal and Torres Strait Islander literature)
"Language, Communication and Culture",Literary studies,470503,Book history
"Language, Communication and Culture",Literary studies,470504,British and Irish literature
"Language, Communication and Culture",Literary studies,470505,Central and Eastern European literature (incl. Russian)
"Language, Communication and Culture",Literary studies,470506,Children's literature
"Language, Communication and Culture",Literary studies,470507,Comparative and transnational literature
"Language, Communication and Culture",Literary studies,470508,Digital literature
"Language, Communication and Culture",Literary studies,470509,Ecocriticism
"Language, Communication and Culture",Literary studies,470510,Indian literature
"Language, Communication and Culture",Literary studies,470511,Indonesian literature
"Language, Communication and Culture",Literary studies,470512,Korean literature
"Language, Communication and Culture",Literary studies,470513,Latin and classical Greek literature
"Language, Communication and Culture",Literary studies,470514,Literary theory
"Language, Communication and Culture",Literary studies,470515,Literature in Chinese
"Language, Communication and Culture",Literary studies,470516,Literature in French
"Language, Communication and Culture",Literary studies,470517,Literature in German
"Language, Communication and Culture",Literary studies,470518,Literature in Italian
"Language, Communication and Culture",Literary studies,470519,Literature in Japanese
"Language, Communication and Culture",Literary studies,470520,Literature in Spanish and Portuguese
"Language, Communication and Culture",Literary studies,470521,Middle Eastern literature
"Language, Communication and Culture",Literary studies,470522,New Zealand literature (excl. Māori literature)
"Language, Communication and Culture",Literary studies,470523,North American literature
"Language, Communication and Culture",Literary studies,470524,Other Asian literature (excl. South-East Asian)
"Language, Communication and Culture",Literary studies,470525,Other European literature
"Language, Communication and Culture",Literary studies,470526,Other literatures in English
"Language, Communication and Culture",Literary studies,470527,Popular and genre literature
"Language, Communication and Culture",Literary studies,470528,Print culture
"Language, Communication and Culture",Literary studies,470529,South-East Asian literature (excl. Indonesian)
"Language, Communication and Culture",Literary studies,470530,Stylistics and textual analysis
"Language, Communication and Culture",Literary studies,470531,Young adult literature
"Language, Communication and Culture",Literary studies,470599,Literary studies not elsewhere classified
"Language, Communication and Culture","Other language, communication and culture",479999,"Other language, communication and culture not elsewhere classified"
Law and Legal Studies,Commercial law,480101,"Banking, finance and securities law"
Law and Legal Studies,Commercial law,480102,Commercial law
Law and Legal Studies,Commercial law,480103,Corporations and associations law
Law and Legal Studies,Commercial law,480104,Labour law
Law and Legal Studies,Commercial law,480105,Not-for-profit law
Law and Legal Studies,Commercial law,480106,Taxation law
Law and Legal Studies,Commercial law,480199,Commercial law not elsewhere classified
Law and Legal Studies,Environmental and resources law,480201,Animal law
Law and Legal Studies,Environmental and resources law,480202,Climate change law
Law and Legal Studies,Environmental and resources law,480203,Environmental law
Law and Legal Studies,Environmental and resources law,480204,"Mining, energy and natural resources law"
Law and Legal Studies,Environmental and resources law,480299,Environmental and resources law not elsewhere classified
Law and Legal Studies,International and comparative law,480301,Asian and Pacific law
Law and Legal Studies,International and comparative law,480302,Comparative law
Law and Legal Studies,International and comparative law,480303,Conflict of laws (incl. private international law)
Law and Legal Studies,International and comparative law,480304,European Union law
Law and Legal Studies,International and comparative law,480305,International arbitration
Law and Legal Studies,International and comparative law,480306,International criminal law
Law and Legal Studies,International and comparative law,480307,International humanitarian and human rights law
Law and Legal Studies,International and comparative law,480308,International trade and investment law
Law and Legal Studies,International and comparative law,480309,Ocean law and governance
Law and Legal Studies,International and comparative law,480310,Public international law
Law and Legal Studies,International and comparative law,480311,"Space, maritime and aviation law"
Law and Legal Studies,International and comparative law,480399,International and comparative law not elsewhere classified
Law and Legal Studies,Law in context,480401,Criminal law
Law and Legal Studies,Law in context,480402,Family law
Law and Legal Studies,Law in context,480403,Law and humanities
Law and Legal Studies,Law in context,480404,Law and religion
Law and Legal Studies,Law in context,480405,Law and society and socio-legal research
Law and Legal Studies,Law in context,480406,Law reform
Law and Legal Studies,Law in context,480407,"Law, gender and sexuality (incl. feminist legal scholarship)"
Law and Legal Studies,Law in context,480408,"Law, science and technology"
Law and Legal Studies,Law in context,480409,Legal education
Law and Legal Studies,Law in context,480410,"Legal theory, jurisprudence and legal interpretation"
Law and Legal Studies,Law in context,480411,Media and communication law
Law and Legal Studies,Law in context,480412,Medical and health law
Law and Legal Studies,Law in context,480413,"Race, ethnicity and law"
Law and Legal Studies,Law in context,480414,Sports law
Law and Legal Studies,Law in context,480499,Law in context not elsewhere classified
Law and Legal Studies,Legal systems,480501,Access to justice
Law and Legal Studies,Legal systems,480502,Civil procedure
Law and Legal Studies,Legal systems,480503,Criminal procedure
Law and Legal Studies,Legal systems,480504,Legal institutions (incl. courts and justice systems)
Law and Legal Studies,Legal systems,480505,"Legal practice, lawyering and the legal profession"
Law and Legal Studies,Legal systems,480506,"Litigation, adjudication and dispute resolution"
Law and Legal Studies,Legal systems,480507,Youth justice
Law and Legal Studies,Legal systems,480599,Legal systems not elsewhere classified
Law and Legal Studies,Private law and civil obligations,480601,Contract law
Law and Legal Studies,Private law and civil obligations,480602,Equity and trusts law
Law and Legal Studies,Private law and civil obligations,480603,Intellectual property law
Law and Legal Studies,Private law and civil obligations,480604,Property law (excl. intellectual property law)
Law and Legal Studies,Private law and civil obligations,480605,Tort law
Law and Legal Studies,Private law and civil obligations,480699,Private law and civil obligations not elsewhere classified
Law and Legal Studies,Public law,480701,Administrative law
Law and Legal Studies,Public law,480702,Constitutional law
Law and Legal Studies,Public law,480703,Domestic human rights law
Law and Legal Studies,Public law,480704,"Migration, asylum and refugee law"
Law and Legal Studies,Public law,480705,Military law and justice
Law and Legal Studies,Public law,480706,Privacy and data rights
Law and Legal Studies,Public law,480707,"Welfare, insurance, disability and social security law"
Law and Legal Studies,Public law,480799,Public law not elsewhere classified
Law and Legal Studies,Other law and legal studies,489999,Other law and legal studies not elsewhere classified
Mathematical Sciences,Applied mathematics,490101,Approximation theory and asymptotic methods
Mathematical Sciences,Applied mathematics,490102,Biological mathematics
Mathematical Sciences,Applied mathematics,490103,"Calculus of variations, mathematical aspects of systems theory and control theory"
Mathematical Sciences,Applied mathematics,490104,Complex systems
Mathematical Sciences,Applied mathematics,490105,Dynamical systems in applications
Mathematical Sciences,Applied mathematics,490106,Financial mathematics
Mathematical Sciences,Applied mathematics,490107,Mathematical methods and special functions
Mathematical Sciences,Applied mathematics,490108,Operations research
Mathematical Sciences,Applied mathematics,490109,Theoretical and applied mechanics
Mathematical Sciences,Applied mathematics,490199,Applied mathematics not elsewhere classified
Mathematical Sciences,Mathematical physics,490201,Algebraic structures in mathematical physics
Mathematical Sciences,Mathematical physics,490202,Integrable systems (classical and quantum)
Mathematical Sciences,Mathematical physics,490203,"Mathematical aspects of classical mechanics, quantum mechanics and quantum information theory"
Mathematical Sciences,Mathematical physics,490204,Mathematical aspects of general relativity
Mathematical Sciences,Mathematical physics,490205,"Mathematical aspects of quantum and conformal field theory, quantum gravity and string theory"
Mathematical Sciences,Mathematical physics,490206,"Statistical mechanics, physical combinatorics and mathematical aspects of condensed matter"
Mathematical Sciences,Mathematical physics,490299,Mathematical physics not elsewhere classified
Mathematical Sciences,Numerical and computational mathematics,490301,Experimental mathematics
Mathematical Sciences,Numerical and computational mathematics,490302,Numerical analysis
Mathematical Sciences,Numerical and computational mathematics,490303,Numerical solution of differential and integral equations
Mathematical Sciences,Numerical and computational mathematics,490304,Optimisation
Mathematical Sciences,Numerical and computational mathematics,490399,Numerical and computational mathematics not elsewhere classified
Mathematical Sciences,Pure mathematics,490401,Algebra and number theory
Mathematical Sciences,Pure mathematics,490402,Algebraic and differential geometry
Mathematical Sciences,Pure mathematics,490403,"Category theory, k theory, homological algebra"
Mathematical Sciences,Pure mathematics,490404,Combinatorics and discrete mathematics (excl. physical combinatorics)
Mathematical Sciences,Pure mathematics,490405,Group theory and generalisations
Mathematical Sciences,Pure mathematics,490406,"Lie groups, harmonic and Fourier analysis"
Mathematical Sciences,Pure mathematics,490407,"Mathematical logic, set theory, lattices and universal algebra"
Mathematical Sciences,Pure mathematics,490408,Operator algebras and functional analysis
Mathematical Sciences,Pure mathematics,490409,"Ordinary differential equations, difference equations and dynamical systems"
Mathematical Sciences,Pure mathematics,490410,Partial differential equations
Mathematical Sciences,Pure mathematics,490411,Real and complex functions (incl. several variables)
Mathematical Sciences,Pure mathematics,490412,Topology
Mathematical Sciences,Pure mathematics,490499,Pure mathematics not elsewhere classified
Mathematical Sciences,Statistics,490501,Applied statistics
Mathematical Sciences,Statistics,490502,Biostatistics
Mathematical Sciences,Statistics,490503,Computational statistics
Mathematical Sciences,Statistics,490504,"Forensic evaluation, inference and statistics"
Mathematical Sciences,Statistics,490505,Large and complex data theory
Mathematical Sciences,Statistics,490506,Probability theory
Mathematical Sciences,Statistics,490507,Spatial statistics
Mathematical Sciences,Statistics,490508,Statistical data science
Mathematical Sciences,Statistics,490509,Statistical theory
Mathematical Sciences,Statistics,490510,Stochastic analysis and modelling
Mathematical Sciences,Statistics,490511,Time series and spatial modelling
Mathematical Sciences,Statistics,490599,Statistics not elsewhere classified
Mathematical Sciences,Other mathematical sciences,499999,Other mathematical sciences not elsewhere classified
Philosophy and Religious Studies,Applied ethics,500101,Bioethics
Philosophy and Religious Studies,Applied ethics,500102,Business ethics
Philosophy and Religious Studies,Applied ethics,500103,Ethical use of new technology
Philosophy and Religious Studies,Applied ethics,500104,Human rights and justice issues (excl. law)
Philosophy and Religious Studies,Applied ethics,500105,Legal ethics
Philosophy and Religious Studies,Applied ethics,500106,Medical ethics
Philosophy and Religious Studies,Applied ethics,500107,Professional ethics
Philosophy and Religious Studies,Applied ethics,500199,Applied ethics not elsewhere classified
Philosophy and Religious Studies,History and philosophy of specific fields,500201,History and philosophy of engineering and technology
Philosophy and Religious Studies,History and philosophy of specific fields,500202,History and philosophy of law and justice
Philosophy and Religious Studies,History and philosophy of specific fields,500203,History and philosophy of medicine
Philosophy and Religious Studies,History and philosophy of specific fields,500204,History and philosophy of science
Philosophy and Religious Studies,History and philosophy of specific fields,500205,History and philosophy of the humanities
Philosophy and Religious Studies,History and philosophy of specific fields,500206,History and philosophy of the social sciences
Philosophy and Religious Studies,History and philosophy of specific fields,500207,History of ideas
Philosophy and Religious Studies,History and philosophy of specific fields,500208,History of philosophy
Philosophy and Religious Studies,History and philosophy of specific fields,500299,History and philosophy of specific fields not elsewhere classified
Philosophy and Religious Studies,Philosophy,500301,Aesthetics
Philosophy and Religious Studies,Philosophy,500302,Critical theory
Philosophy and Religious Studies,Philosophy,500303,Decision theory
Philosophy and Religious Studies,Philosophy,500304,Environmental philosophy
Philosophy and Religious Studies,Philosophy,500305,Epistemology
Philosophy and Religious Studies,Philosophy,500306,Ethical theory
Philosophy and Religious Studies,Philosophy,500307,Hermeneutics
Philosophy and Religious Studies,Philosophy,500308,Logic
Philosophy and Religious Studies,Philosophy,500309,Metaphysics
Philosophy and Religious Studies,Philosophy,500310,Phenomenology
Philosophy and Religious Studies,Philosophy,500311,Philosophical psychology (incl. moral psychology and philosophy of action)
Philosophy and Religious Studies,Philosophy,500312,Philosophy of cognition
Philosophy and Religious Studies,Philosophy,500313,Philosophy of gender
Philosophy and Religious Studies,Philosophy,500314,Philosophy of language
Philosophy and Religious Studies,Philosophy,500315,Philosophy of mind (excl. cognition)
Philosophy and Religious Studies,Philosophy,500316,Philosophy of religion
Philosophy and Religious Studies,Philosophy,500317,Philosophy of science (excl. history and philosophy of specific fields)
Philosophy and Religious Studies,Philosophy,500318,Philosophy of specific cultures (incl. comparative philosophy)
Philosophy and Religious Studies,Philosophy,500319,Poststructuralism
Philosophy and Religious Studies,Philosophy,500320,Psychoanalytic philosophy
Philosophy and Religious Studies,Philosophy,500321,Social and political philosophy
Philosophy and Religious Studies,Philosophy,500399,Philosophy not elsewhere classified
Philosophy and Religious Studies,Religious studies,500401,Christian studies
Philosophy and Religious Studies,Religious studies,500402,Comparative religious studies
Philosophy and Religious Studies,Religious studies,500403,Islamic studies
Philosophy and Religious Studies,Religious studies,500404,Jewish studies
Philosophy and Religious Studies,Religious studies,500405,"Religion, society and culture"
Philosophy and Religious Studies,Religious studies,500406,Studies in eastern religious traditions
Philosophy and Religious Studies,Religious studies,500407,"Studies in religious traditions (excl. Eastern, Jewish, Christian and Islamic traditions)"
Philosophy and Religious Studies,Religious studies,500499,Religious studies not elsewhere classified
Philosophy and Religious Studies,Theology,500501,Theology
Philosophy and Religious Studies,Theology,500599,Theology not elsewhere classified
Philosophy and Religious Studies,Other philosophy and religious studies,509999,Other philosophy and religious studies not elsewhere classified
Physical Sciences,Astronomical sciences,510101,Astrobiology
Physical Sciences,Astronomical sciences,510102,Astronomical instrumentation
Physical Sciences,Astronomical sciences,510103,Cosmology and extragalactic astronomy
Physical Sciences,Astronomical sciences,510104,Galactic astronomy
Physical Sciences,Astronomical sciences,510105,General relativity and gravitational waves
Physical Sciences,Astronomical sciences,510106,High energy astrophysics and galactic cosmic rays
Physical Sciences,Astronomical sciences,510107,Planetary science (excl. solar system and planetary geology)
Physical Sciences,Astronomical sciences,510108,Solar physics
Physical Sciences,Astronomical sciences,510109,Stellar astronomy and planetary systems
Physical Sciences,Astronomical sciences,510199,Astronomical sciences not elsewhere classified
Physical Sciences,"Atomic, molecular and optical physics",510201,Atomic and molecular physics
Physical Sciences,"Atomic, molecular and optical physics",510202,Lasers and quantum electronics
Physical Sciences,"Atomic, molecular and optical physics",510203,Nonlinear optics and spectroscopy
Physical Sciences,"Atomic, molecular and optical physics",510204,"Photonics, optoelectronics and optical communications"
Physical Sciences,"Atomic, molecular and optical physics",510205,Terahertz physics
